,,"Name (click to view profile)",Date,Likes,isHearted,isPinned,Comment,"Profile ID","Comment ID","Comment URL"
42,,"metal slaz","2021-11-20 12:25:53",0,no,no,"Benar sekali emak",UCfkb2FqVPfEkhVLfbeSvFwA,Ugy9e_NONMo6dS97aoZ4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugy9e_NONMo6dS97aoZ4AaABAg
43,,"anditan Bond","2021-11-20 12:25:54",0,no,no,"Tunggu bpk Kapolri n Presiden dengar, biasanya klo beliau dengar, pasti ada solusi / perubahan... sebab harus dr atas langsung hal2 spt ini...",UClXDer0Aj9MNDRU_azmknug,UgwkJmPP1KLWsdvNN-94AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgwkJmPP1KLWsdvNN-94AaABAg
44,,"Ridwan Chipau","2021-11-20 12:26:00",0,no,no,"Ema2 tuh bener bngt 😂",UC814UlY7LGgICAjNcCUXFoA,UgyIXKJoSXbs9njFo_14AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgyIXKJoSXbs9njFo_14AaABAg
45,,"Ferdian Bellamy","2021-11-20 12:26:07",0,no,no,"Suruh aje polisi nyeee bisa kaga itu 🤣🤣🤣🤣",UCnCwXduJ-VUIw7k7HeK2YEQ,UgyRw7j-tEjpNNkGzlF4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgyRw7j-tEjpNNkGzlF4AaABAg
46,,"Opay Abdul","2021-11-20 12:26:07",0,no,no,"Goblox nya kenapa harus nunggu emak emak dulu sih yang bersuara...Ini emang ladang duit haram buat polisi",UCzrcm0aW_sl3iVMhuEN70ig,UgzsKXAJ3rPGNSRnZKN4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgzsKXAJ3rPGNSRnZKN4AaABAg
47,,"Arif Mugiono","2021-11-20 12:26:10",0,no,no,"Pengalaman buwat sim,dan perpanjangn SIM..terkadang ada aturan yg di ada²kan cuma untuk meraup pundi² uang..tiap daerah berbeda aturan,ada juga yg tidak sesuai dg tarif administrasinya.misal selisih lebih mahal 10rb x 500org/hari pembuat/perpajangn sim. Udh keliatan tu nominal uang tambahan yg di terima institusi tersebut..",UCwUc_KSuAh4lDo1U9JHci1A,UgzfrLK7O93vslKBWsZ4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgzfrLK7O93vslKBWsZ4AaABAg
48,,"dyah rahayu","2021-11-20 12:26:18",0,no,no,"Viralkan.. Up up up up...",UCoyNwutoqk9efLi5I-NlTFA,Ugy6Ew8Gegf1qd6-0lt4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugy6Ew8Gegf1qd6-0lt4AaABAg
49,,Jap,"2021-11-20 12:26:25",0,no,no,"Faktanya ga pernah ada didunia ini jalan raya model gitu.",UCoSyxyXDvfMyobVCcNjwNcg,UgwTWc6qbHj9R-L_-o14AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgwTWc6qbHj9R-L_-o14AaABAg
50,,"the quest","2021-11-20 12:26:27",0,no,no,"Ujian nyalip pas macet",UClfp4F_YWihtVU10omxAvDg,UgzD4qoehbd6yGNz0At4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgzD4qoehbd6yGNz0At4AaABAg
51,,"Am Ril","2021-11-20 12:26:33",0,no,no,🤣🤣🤣🤣🤣👍👍👍👍👍,UC621BVMFZv4YAOQ9WYMxmlQ,UgwXnBVJZxS1pMX45094AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgwXnBVJZxS1pMX45094AaABAg
52,,"Kaji Lamiran Lamiran","2021-11-20 12:26:33",0,no,no,"Pratek sim disuruh vawa motor yg disiapkan petugas sampai buyuten tentu gk bisa..petugas yg mempratekkan disuruh bawa motor pengunjung sampai buyuten petugas juga gk bisa..bawa motor sendiri juga gk bolih.. kelihatannya memang dipersulit..nah disini pasti bnyk pungli..",UCryiraHsBropEF5cuD7-lLw,UgxN951gXuKtQHjoKcF4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgxN951gXuKtQHjoKcF4AaABAg
53,,"Rohy Famz","2021-11-20 12:26:48",0,no,no,"Kayaknya dulu ada pak polisi yg memperagakan melewati trek itu dan jatuhhh 😁😁",UCJTkUUYbj4urM5laL7U5hCg,Ugxeek98aeGkW16crhN4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugxeek98aeGkW16crhN4AaABAg
54,,"Lukas Bintang","2021-11-20 12:26:50",0,no,no,"Wkwkwk padahal ini kan emg dari dulu ada.. padahal gampang😂",UCdtZ0Krc71YDCjJA1m0SQIg,UgwONmbjSbg1TUnP9PV4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=UgwONmbjSbg1TUnP9PV4AaABAg
55,,"david barker","2021-11-20 12:26:56",0,no,no,"aku padamu ibu",UCw-gh4DXZfrtVXpTeAdJwLw,Ugyj-_ZELpn_yWWn1uN4AaABAg,https://www.youtube.com/watch?v=m1TVUYBlE8c&lc=Ugyj-_ZELpn_yWWn1uN4AaABAg
